Num. Ens/ Num. Inventari,area_value,area_type,units,area_id
308,0,Sup. const. total,m2,575
308,0,Sup. del terreny,m2,576
309,0,Sup. const. sobre rasant,m2,577
309,0,Sup. const. sota rasant,m2,578
309,0,Sup. const. total,m2,579
309,0,Sup. del terreny,m2,580
310,0,Sup. const. sobre rasant,m2,581
310,0,Sup. const. sota rasant,m2,582
310,0,Sup. const. total,m2,583
310,0,Sup. del terreny,m2,584
312,4143,Sup. const. sobre rasant,m2,585
312,0,Sup. const. sota rasant,m2,586
312,4143,Sup. const. total,m2,587
312,7058.5,Sup. del terreny,m2,588
315,1075,Sup. const. sobre rasant,m2,589
315,0,Sup. const. sota rasant,m2,590
315,1075,Sup. const. total,m2,591
315,1000,Sup. del terreny,m2,592
317,1049.65,Sup. const. sobre rasant,m2,593
317,0,Sup. const. sota rasant,m2,594
317,1049.65,Sup. const. total,m2,595
317,2683.47,Sup. del terreny,m2,596
320,0,Sup. const. sobre rasant,m2,597
320,0,Sup. const. sota rasant,m2,598
320,0,Sup. const. total,m2,599
320,0,Sup. del terreny,m2,600
321,0,Sup. const. sobre rasant,m2,601
321,0,Sup. const. sota rasant,m2,602
321,0,Sup. const. total,m2,603
321,332,Sup. del terreny,m2,604
322,189,Sup. const. sobre rasant,m2,605
322,0,Sup. const. sota rasant,m2,606
322,189,Sup. const. total,m2,607
322,0,Sup. del terreny,m2,608
323,0,Sup. const. sobre rasant,m2,609
323,0,Sup. const. sota rasant,m2,610
323,0,Sup. const. total,m2,611
323,10010,Sup. del terreny,m2,612
324,0,Sup. const. sobre rasant,m2,613
324,0,Sup. const. sota rasant,m2,614
324,0,Sup. const. total,m2,615
324,224,Sup. del terreny,m2,616
325,1035,Sup. const. sobre rasant,m2,617
325,0,Sup. const. sota rasant,m2,618
325,1035,Sup. const. total,m2,619
325,0,Sup. del terreny,m2,620
328,788.8,Sup. const. sobre rasant,m2,621
328,0,Sup. const. sota rasant,m2,622
328,788.8,Sup. const. total,m2,623
328,579.2,Sup. del terreny,m2,624
329,2796.37,Sup. const. sobre rasant,m2,625
329,1209.12,Sup. const. sota rasant,m2,626
329,4005.49,Sup. const. total,m2,627
329,2000,Sup. del terreny,m2,628
330,7528,Sup. const. sobre rasant,m2,629
330,0,Sup. const. sota rasant,m2,630
330,7528,Sup. const. total,m2,631
330,6534.5,Sup. del terreny,m2,632
331,418.44,Sup. const. sobre rasant,m2,633
331,0,Sup. const. sota rasant,m2,634
331,418.44,Sup. const. total,m2,635
331,0,Sup. del terreny,m2,636
332,84,Sup. const. sobre rasant,m2,637
332,0,Sup. const. sota rasant,m2,638
332,84,Sup. const. total,m2,639
332,1370,Sup. del terreny,m2,640
335,9582,Sup. const. sobre rasant,m2,641
335,4550,Sup. const. sota rasant,m2,642
335,14132,Sup. const. total,m2,643
335,2692,Sup. del terreny,m2,644
336,4086.8,Sup. const. sobre rasant,m2,645
336,0,Sup. const. sota rasant,m2,646
336,4086.8,Sup. const. total,m2,647
336,21356.5,Sup. del terreny,m2,648
338,210,Sup. const. sobre rasant,m2,649
338,0,Sup. const. sota rasant,m2,650
338,210,Sup. const. total,m2,651
338,17.51,Sup. del terreny,m2,652
340,92,Sup. const. sobre rasant,m2,653
340,0,Sup. const. sota rasant,m2,654
